Treatment,Replicate,Settling,Number,Transfer
GAL,1,no,2,1
GAL,1,no,2,1
GAL,1,no,3,1
GAL,1,no,1,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,1,1
GAL,1,no,4,1
GAL,1,no,3,1
GAL,1,no,4,1
GAL,1,no,2,1
GAL,1,no,1,1
GAL,1,no,5,1
GAL,1,no,7,1
GAL,1,no,5,1
GAL,1,no,5,1
GAL,1,no,4,1
GAL,1,no,2,1
GAL,1,no,3,1
GAL,1,no,4,1
GAL,1,no,6,1
GAL,1,no,1,1
GAL,1,no,3,1
GAL,1,no,2,1
GAL,1,no,4,1
GAL,1,no,7,1
GAL,1,no,4,1
GAL,1,no,5,1
GAL,1,no,2,1
GAL,1,no,2,1
GAL,1,no,1,1
GAL,1,no,4,1
GAL,1,no,1,1
GAL,1,no,4,1
GAL,1,no,2,1
GAL,1,no,2,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,5,1
GAL,1,no,2,1
GAL,1,no,5,1
GAL,1,no,4,1
GAL,1,no,2,1
GAL,1,no,3,1
GAL,1,no,1,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,5,1
GAL,1,no,3,1
GAL,1,no,4,1
GAL,1,no,1,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,2,1
GAL,1,no,2,1
GAL,1,no,3,1
GAL,1,no,4,1
GAL,1,no,6,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,2,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,4,1
GAL,1,no,6,1
GAL,1,no,2,1
GAL,1,no,2,1
GAL,1,no,5,1
GAL,1,no,10,1
GAL,1,no,2,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,2,1
GAL,1,no,16,1
GAL,1,no,3,1
GAL,1,no,7,1
GAL,1,no,10,1
GAL,1,no,1,1
GAL,1,no,3,1
GAL,1,no,2,1
GAL,1,no,2,1
GAL,1,no,2,1
GAL,1,no,2,1
GAL,1,no,4,1
GAL,1,no,7,1
GAL,1,no,3,1
GAL,1,no,6,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,3,1
GAL,1,no,2,1
GAL,1,no,2,1
GAL,1,no,4,1
GAL,1,no,8,1
GAL,1,no,1,1
GAL,1,no,3,1
GAL,1,no,2,1
GAL,2,no,2,1
GAL,2,no,5,1
GAL,2,no,2,1
GAL,2,no,4,1
GAL,2,no,3,1
GAL,2,no,4,1
GAL,2,no,3,1
GAL,2,no,5,1
GAL,2,no,2,1
GAL,2,no,1,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,10,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,2,1
GAL,2,no,3,1
GAL,2,no,12,1
