Treatment,Replicate,OD ,Date,Time
GAL,1,0.224,10/22/2024,9:50:00
GAL,2,0.203,10/22/2024,
GAL,3,0.239,10/22/2024,
GAL,4,0.21,10/22/2024,
GALSET,1,0.221,10/22/2024,
GALSET,2,0.206,10/22/2024,
GALSET,3,0.212,10/22/2024,
GALSET,4,0.233,10/22/2024,
GALSET Settled,1,0.223,10/22/2024,
GALSET Settled,2,0.179,10/22/2024,
GALSET Settled,3,0.311,10/22/2024,
GALSET Settled,4,0.376,10/22/2024,
YPD,1,0.223,10/22/2024,
YPD,2,0.224,10/22/2024,
YPD,3,0.201,10/22/2024,
YPD,4,0.186,10/22/2024,
YPDSET,1,0.191,10/22/2024,
YPDSET,2,0.199,10/22/2024,
YPDSET,3,0.175,10/22/2024,
YPDSET,4,0.166,10/22/2024,
YPDSET Settled,1,0.285,10/22/2024,
YPDSET Settled,2,0.213,10/22/2024,
YPDSET Settled,3,0.146,10/22/2024,
YPDSET Settled,4,0.259,10/22/2024,
GAL,1,0.208,10/23/2024,10:35:00
GAL,2,0.233,10/23/2024,
GAL,3,0.26,10/23/2024,
GAL,4,0.206,10/23/2024,
GAL,5,0.227,10/23/2024,
GAL,6,0.173,10/23/2024,
GAL,7,0.181,10/23/2024,
GAL,8,0.186,10/23/2024,
GALSET,1,0.274,10/23/2024,
GALSET,2,0.251,10/23/2024,
GALSET,3,0.266,10/23/2024,
GALSET,4,0.266,10/23/2024,
GALSET,5,0.215,10/23/2024,
GALSET,6,0.233,10/23/2024,
GALSET,7,0.217,10/23/2024,
GALSET,8,0.202,10/23/2024,
GALSET Settled,1,0.267,10/23/2024,
GALSET Settled,2,0.299,10/23/2024,
GALSET Settled,3,0.292,10/23/2024,
GALSET Settled,4,0.314,10/23/2024,
GALSET Settled,5,0.348,10/23/2024,
GALSET Settled,6,0.566,10/23/2024,
GALSET Settled,7,0.454,10/23/2024,
GALSET Settled,8,0.274,10/23/2024,
YPD,1,0.242,10/23/2024,
YPD,2,0.224,10/23/2024,
YPD,3,0.205,10/23/2024,
YPD,4,0.166,10/23/2024,
YPD,5,0.219,10/23/2024,
YPD,6,0.235,10/23/2024,
YPD,7,0.199,10/23/2024,
YPD,8,0.23,10/23/2024,
