Transfer,Treatment,Binned_Number,Total_Cells
1,YPD,1-2,956
1,YPD,3-5,668
1,YPD,6-9,26
1,YPD,10-19,10
1,YPD,20-29,0
1,YPD,30-39,0
1,YPD,40-49,0
1,YPD,50-100,0
1,YPD,101-204,0
1,YPDSET,1-2,941
1,YPDSET,3-5,673
1,YPDSET,6-9,14
1,YPDSET,10-19,14
1,YPDSET,20-29,0
1,YPDSET,30-39,0
1,YPDSET,40-49,0
1,YPDSET,50-100,0
1,YPDSET,101-204,0
1,GAL,1-2,602
1,GAL,3-5,1412
1,GAL,6-9,339
1,GAL,10-19,216
1,GAL,20-29,46
1,GAL,30-39,0
1,GAL,40-49,0
1,GAL,50-100,0
1,GAL,101-204,0
1,GALSET,1-2,610
1,GALSET,3-5,1353
1,GALSET,6-9,396
1,GALSET,10-19,183
1,GALSET,20-29,22
1,GALSET,30-39,32
1,GALSET,40-49,0
1,GALSET,50-100,0
1,GALSET,101-204,0
4,YPD,1-2,767
4,YPD,3-5,1037
4,YPD,6-9,94
4,YPD,10-19,0
4,YPD,20-29,0
4,YPD,30-39,0
4,YPD,40-49,0
4,YPD,50-100,0
4,YPD,101-204,0
4,YPDSET,1-2,737
4,YPDSET,3-5,1172
4,YPDSET,6-9,81
4,YPDSET,10-19,19
4,YPDSET,20-29,0
4,YPDSET,30-39,0
4,YPDSET,40-49,0
4,YPDSET,50-100,0
4,YPDSET,101-204,0
4,GAL,1-2,419
4,GAL,3-5,1665
4,GAL,6-9,578
4,GAL,10-19,406
4,GAL,20-29,137
4,GAL,30-39,0
4,GAL,40-49,0
4,GAL,50-100,0
4,GAL,101-204,0
4,GALSET,1-2,341
4,GALSET,3-5,1607
4,GALSET,6-9,774
4,GALSET,10-19,875
4,GALSET,20-29,391
4,GALSET,30-39,0
4,GALSET,40-49,186
4,GALSET,50-100,0
4,GALSET,101-204,0
8,YPD,1-2,766
8,YPD,3-5,991
8,YPD,6-9,52
8,YPD,10-19,10
8,YPD,20-29,0
8,YPD,30-39,0
8,YPD,40-49,0
8,YPD,50-100,0
8,YPD,101-204,0
8,YPDSET,1-2,720
8,YPDSET,3-5,1155
8,YPDSET,6-9,155
8,YPDSET,10-19,44
8,YPDSET,20-29,0
8,YPDSET,30-39,0
8,YPDSET,40-49,0
8,YPDSET,50-100,0
8,YPDSET,101-204,0
8,GAL,1-2,448
8,GAL,3-5,1742
8,GAL,6-9,412
8,GAL,10-19,338
8,GAL,20-29,69
8,GAL,30-39,0
8,GAL,40-49,0
8,GAL,50-100,0
8,GAL,101-204,0
8,GALSET,1-2,259
8,GALSET,3-5,1362
8,GALSET,6-9,1186
8,GALSET,10-19,1325
8,GALSET,20-29,491
8,GALSET,30-39,160
8,GALSET,40-49,174
8,GALSET,50-100,294
8,GALSET,101-204,127
12,YPD,1-2,681
12,YPD,3-5,1094
12,YPD,6-9,172
12,YPD,10-19,12
12,YPD,20-29,0
12,YPD,30-39,0
12,YPD,40-49,0
12,YPD,50-100,0
12,YPD,101-204,0
12,YPDSET,1-2,632
12,YPDSET,3-5,1309
12,YPDSET,6-9,153
12,YPDSET,10-19,53
12,YPDSET,20-29,0
12,YPDSET,30-39,34
12,YPDSET,40-49,0
12,YPDSET,50-100,0
12,YPDSET,101-204,0
12,GAL,1-2,457
12,GAL,3-5,1791
12,GAL,6-9,359
12,GAL,10-19,375
12,GAL,20-29,71
12,GAL,30-39,0
12,GAL,40-49,0
12,GAL,50-100,0
12,GAL,101-204,0
12,GALSET,1-2,219
12,GALSET,3-5,1192
12,GALSET,6-9,1138
12,GALSET,10-19,1907
12,GALSET,20-29,764
12,GALSET,30-39,531
12,GALSET,40-49,403
12,GALSET,50-100,468
12,GALSET,101-204,247
16,YPD,1-2,704
16,YPD,3-5,1059
16,YPD,6-9,66
16,YPD,10-19,37
16,YPD,20-29,0
16,YPD,30-39,0
16,YPD,40-49,0
16,YPD,50-100,0
16,YPD,101-204,0
